id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
brun1246,aust1307,brun1252,Brunei-Bacan Malay,FALSE,family,,,,,,0,2,3,
brun1252,aust1307,bera1266,Bruneic Malay,FALSE,family,,,,,,1,3,3,
bryt1239,indo1319,insu1254,Brythonic,FALSE,family,,,,,,4,6,13,
buaa1245,atla1278,buai1235,Bua,FALSE,language,992.491,180.821,bub,,,0,0,0,TD
buai1235,atla1278,bual1236,Ba-Korom,FALSE,family,,,,,,0,2,0,
buak1234,atla1278,nort3149,Bua-Kim-Day,FALSE,family,,,,,,11,15,24,
bual1235,sino1245,fala1242,Bualkhaw Chin,FALSE,language,22.91,93.68,cbl,,,0,0,0,MM
bual1236,atla1278,buan1246,Bua-Lua,FALSE,family,,,,,,1,3,3,
buam1238,atla1278,nucl1742,Buamu,FALSE,language,11.1687,-350.303,box,,,0,0,1,BF ML
buan1245,aust1307,sout2878,Buang linkage,FALSE,family,,,,,,4,10,14,
buan1246,atla1278,adam1257,Riverine Bua,FALSE,family,,,,,,3,5,5,
bube1242,atla1278,mbam1254,Bube,FALSE,language,353.638,868.929,bvb,,,0,0,3,GQ
bubi1250,atla1278,sout3191,Bubi,FALSE,language,-116.762,1.232.251,buw,,,0,0,0,GA
bude1236,aust1305,stie1250,Budeh Stieng,FALSE,language,11.6917,106.691,stt,,,0,0,0,KH VN
budi1249,aust1307,kili1266,Budibud,FALSE,language,-929.802,153.689,btp,,,0,0,0,PG
budj1234,atla1278,mote1237,Bujaic,FALSE,family,,,,,,1,3,4,
budj1235,atla1278,budj1234,Budja (C.37),FALSE,family,,,,,,0,2,4,
budo1241,aust1307,pana1302,Budong-Budong,FALSE,language,-207.756,119.327,bdx,,,0,0,0,ID
budu1248,nakh1245,sout2753,Budukh,FALSE,language,412.272,483.353,bdk,,,0,0,2,AZ
budu1250,atla1278,budu1266,Budu,FALSE,language,200.501,27.951,buu,,,0,0,8,CD
budu1265,afro1255,koto1267,Buduma,FALSE,language,130.692,144.492,bdm,,,0,0,4,CM NG TD
budu1266,atla1278,nyal1255,Budu-Ndaka-Mbo,FALSE,family,,,,,,1,3,8,
budz1238,atla1278,budj1235,Budza,FALSE,language,219.951,226.107,bja,,,0,0,4,CD
buga1247,aust1305,boly1240,Bugan,FALSE,language,236.124,104.963,bbh,,,0,0,0,CN
buga1250,aust1307,nort2858,Bugawac,FALSE,language,-667.519,147.32,buk,,,0,0,0,PG
bugh1239,aust1307,ngge1240,Bughotu,FALSE,language,-847.948,159.802,bgt,,,0,0,2,SB
bugi1243,aust1307,sout3413,Tamanic-Bugis,FALSE,family,,,,,,2,5,14,
bugi1244,aust1307,bugi1245,Buginese,FALSE,language,-4.47,119.977,bug,,,0,0,11,ID
