id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
agua1251,unat1236,araw1288,Aguano,FALSE,language,-5.25,-758.333,aga,,,0,0,0,PE
agua1252,maya1287,ixil1250,Aguacateco,FALSE,language,153.307,-913.153,agu,,,0,0,0,GT
agua1253,jiva1245,jiva1245,Aguaruna,FALSE,language,-530.044,-779.218,agr,,,0,0,0,PE
agua1254,cofa1242,cofa1242,Aguarico,FALSE,dialect,,,,,,0,0,0,
aguf1237,aust1307,faga1239,Agufi,FALSE,dialect,,,,,,0,0,0,
agul1243,indo1319,agul1245,Agulis,FALSE,dialect,,,,,,0,0,0,
agul1244,nakh1245,aghu1253,Central Agul,FALSE,dialect,,,,,,0,0,0,
agul1245,indo1319,nucl1235,Agulis-Meghri,FALSE,dialect,,,,,,0,0,2,
agun1238,atla1278,ewei1234,Aguna,FALSE,language,749.256,174.452,aug,,,0,0,0,BJ TG
aguo1238,nilo1247,sout2832,Aguok,FALSE,dialect,,,,,,0,0,0,
agus1235,aust1307,east2478,Agusan Manobo,FALSE,language,862.731,125.742,msm,,,0,0,3,PH
agut1237,aust1307,kala1389,Agutaynen,FALSE,language,10.5328,119.655,agn,,,0,0,0,PH
aguu1241,sino1245,rawa1265,Agu,FALSE,dialect,,,,,,0,0,0,
aguu1242,atla1278,ewee1241,Agu (Ewe),FALSE,dialect,,,,,,0,0,0,
agwa1246,atla1278,alag1242,Agwatashi,FALSE,dialect,,,,,,0,0,0,
agwa1247,atla1278,kohu1243,Agwagwune,FALSE,language,581.055,803.166,yay,,,0,0,7,NG
ahaf1238,atla1278,akan1250,Ahafo,FALSE,dialect,,,,,,0,0,0,
ahan1243,atla1278,sout2779,Ahanta,FALSE,language,485.147,-194.657,aha,,,0,0,0,GH
ahan1244,atla1278,ayer1244,Àhàn,FALSE,language,744.139,600.896,ahn,,,0,0,0,NG
ahea1235,nucl1580,keor1235,Aheave,FALSE,dialect,,,,,,0,0,0,
ahea1240,book1242,book1242,Ahe,TRUE,language,,,ahe,,,0,0,0,
ahei1238,narr1279,ngil1242,Aheima,FALSE,dialect,,,,,,0,0,0,
aher1237,drav1251,east2880,Aheri Gondi,FALSE,language,194.163,800.058,esg,,,0,0,3,IN
aheu1239,aust1305,chut1252,Thavung,FALSE,language,177.655,104.229,thm,,,0,0,0,LA TH
ahin1234,aust1307,kall1244,Ahin-Kayapa Kalanguya,FALSE,language,16.321,12.090.003,kak,,,0,0,2,PH
ahir1242,indo1319,bhil1251,Ahiri,FALSE,dialect,,,,,,0,0,0,
ahir1243,book1242,book1242,Ahirani,TRUE,language,21.552,73.685,ahr,,,0,0,0,IN
ahkk1235,sout2845,sout2845,AHK,FALSE,family,,,,,,2,4,0,
ahom1240,taik1256,assa1264,Ahom,FALSE,language,2.704.023,9.432.671,aho,,,0,0,0,IN
ahou1236,taik1256,nort3188,Ahouic,FALSE,family,,,,,,0,2,2,
ahte1237,atha1245,sout3337,Ahtena,FALSE,language,617.068,-144.889,aht,,,0,0,5,US
ahua1238,otom1299,sant1454,Ahuatempan Popoloca,FALSE,dialect,,,,,,0,0,0,
ahue1234,utoa1244,tono1234,Ahuelicán,FALSE,dialect,,,,,,0,0,0,
ahva1234,indo1319,khuz1234,Ahvazi,FALSE,dialect,,,,,,0,0,0,
ahwa1235,atla1278,benu1248,Ndunic,FALSE,language,917.635,856.205,nfd,,,0,0,0,NG
ahwa1239,afro1255,nucl1706,Ahwaz,FALSE,dialect,,,,,,0,0,0,
aial1237,aust1307,moli1248,Ai'alu,FALSE,dialect,,,,,,0,0,0,
aian1241,ramu1234,ramu1234,Aian,FALSE,family,,,,,,0,2,0,
aibo1237,aust1307,wand1267,Aibondeni,FALSE,dialect,,,,,,0,0,0,
